N1_ID_padre,N1_Descripcion,N2_ID_padre,N2_Descripcion,N3_ID_padre,N3_Descripcion,PFM_V5,PFM_V6,BFM
1,Ingresos,582,Ingresos financieros,512,Dividendos y plusvalías,Ahorro e inversión_Otros,Ahorro e inversión_Inversión,Bancos e Inversiones_Otros
,,,,510,Bonificaciones,Ahorro e inversión_Otros,Ahorro e inversión_Inversión,Bancos e Inversiones_Otros
,,,,509,Intereses,Ahorro e inversión_Inversión,Ahorro e inversión_Inversión,Bancos e Inversiones_Intereses
,,29,Renta alquiler,587,Ingreso alquiler,Alquileres_Vacío,Vivienda_Alquileres,Alquileres_Alquileres Mobiliarios
,,,,40,Gastos comunidad,Gastos hogar_Comunidad,Gastos hogar_Comunidad,Local_Comunidad
,,,,43,"Mantenimiento, reparaciones y mejoras",Gastos hogar_Mantenimiento y limpieza,Gastos hogar_Mantenimiento y limpieza,Local_Mantenimiento
,,,,41,Servicios y suministros,Gastos hogar_Otros,Gastos hogar_Otros,
,,,,39,Impuestos municipales,Impuestos y tasas_Impuestos,Impuestos y tasas_Impuestos,Impuestos Y Tasas_Otros
,,,,42,Seguro del hogar,Seguros_Seguro hogar,Seguros_Seguro hogar,"Seguros_seguro de instalaciones, naves y locales"
,,532,Ingresos autónomos y empresas,549,Venta por TPV,,,Facturación / Ventas_Ventas Tienda Física Y Tpv
,,,,552,Venta online,,,Facturación / Ventas_Ventas Online
,,,,553,Venta por facturas y recibos,,,Facturación / Ventas_Facturas
,,576,Nómina,32,Finiquito,Nóminas_Vacío,Nóminas_Vacío,Recursos Humanos_Indemnizaciones
,,,,18,Retribución líquida,Nóminas_Vacío,Nóminas_Vacío,Recursos Humanos_Pago De Nóminas
,,,,21,Bonus,Nóminas_Vacío,Nóminas_Vacío,Recursos Humanos_Otros
,,36,Otros ingresos,574,Ingresos por préstamos,Bancos_Préstamos,Bancos_Préstamos,Bancos e Inversiones_Préstamos
,,,,550,Ingreso en efectivo,Otros_Ingresos,Otros_Ingresos,Otros_Ingresos
